Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
5060.0,0.001,-0.007,0.997,-3.35,0.71,0.93
5080.0,-0.000,-0.006,0.999,-3.48,1.0,1.17
5100.0,0.000,-0.002,0.998,-3.75,0.82,0.88
5120.0,0.001,0.003,1.000,-3.36,0.84,0.99
5140.0,-0.002,0.001,0.995,-3.6,1.06,0.88
5160.0,0.002,0.001,1.001,-3.46,1.12,0.94
5180.0,0.002,0.001,0.997,-3.33,1.04,1.18
5200.0,0.001,0.001,0.998,-3.68,1.07,0.98
5220.0,-0.003,0.001,0.997,-3.47,0.91,0.69
5240.0,0.002,0.000,1.003,-3.36,0.77,0.97
5260.0,0.003,-0.002,0.996,-3.4,0.96,0.93
5280.0,0.002,-0.002,1.000,-3.65,1.14,0.95
5300.0,-0.000,0.003,1.001,-3.41,0.97,0.79
5320.0,-0.002,0.006,1.003,-3.27,0.96,1.12
5340.0,-0.002,-0.003,1.000,-3.44,1.17,1.17
5360.0,0.006,-0.006,0.999,-3.48,1.13,1.24
5380.0,-0.001,-0.003,0.998,-3.27,1.22,1.04
5400.0,-0.000,0.000,0.998,-3.2,0.95,1.2
5420.0,0.002,0.001,1.002,-3.31,0.87,1.13
5440.0,0.000,-0.000,1.010,-3.32,0.92,1.07
5460.0,0.004,0.003,1.000,-3.3,1.37,0.95
5480.0,0.001,0.003,1.000,-3.61,0.68,1.14
5500.0,0.001,0.002,0.999,-3.47,1.04,1.11
5520.0,0.001,-0.000,1.002,-3.15,0.67,1.04
5540.0,0.003,-0.006,1.003,-3.39,1.09,0.98
5560.0,0.004,0.005,1.003,-3.27,1.04,1.07
5580.0,-0.001,0.002,1.004,-3.26,1.07,1.03
5600.0,0.001,-0.002,0.999,-3.1,1.04,1.14
5620.0,-0.003,-0.005,1.005,-3.37,1.27,1.02
5640.0,-0.003,0.002,0.992,-3.49,1.15,0.87
5660.0,0.000,0.004,1.000,-3.21,0.72,1.07
5680.0,-0.002,-0.000,1.004,-3.54,1.01,1.24
5700.0,0.002,0.000,1.005,-3.38,0.94,1.01
5720.0,0.005,-0.004,0.998,-3.3,1.01,0.95
5740.0,0.002,-0.003,0.997,-3.2,1.05,0.99
5760.0,-0.004,-0.001,1.005,-3.31,0.78,1.01
5780.0,-0.003,0.002,1.002,-3.43,0.85,0.95
5800.0,-0.001,-0.002,1.006,-3.14,0.77,0.86
5820.0,0.002,-0.005,0.998,-3.5,0.78,0.95
5840.0,-0.004,-0.001,0.999,-3.24,0.72,0.85
5860.0,-0.005,0.003,0.998,-3.23,0.87,0.95
5880.0,-0.003,0.007,1.001,-3.4,0.92,1.24
5900.0,0.003,0.000,1.003,-3.19,0.78,1.18
5920.0,0.002,-0.001,1.001,-3.65,0.75,0.83
5940.0,0.004,0.000,0.998,-3.19,0.73,0.96
5960.0,-0.004,0.000,1.001,-3.62,0.85,1.02
5980.0,0.002,-0.005,1.002,-3.56,0.74,0.99
6000.0,-0.006,0.001,0.998,-3.27,0.78,1.14
6020.0,-0.002,0.003,1.000,-3.62,0.96,0.88
6040.0,-0.003,-0.003,0.998,-3.34,1.05,1.04
6060.0,-0.000,0.004,1.002,-3.31,0.85,0.91
6080.0,-0.001,0.001,0.996,-3.23,0.72,0.88
6100.0,-0.001,0.002,1.001,-3.54,0.81,0.99
6120.0,-0.004,-0.002,0.998,-3.36,0.89,1.11
6140.0,-0.001,-0.002,1.002,-3.44,0.83,1.09
6160.0,0.002,-0.004,0.997,-3.04,0.81,1.1
6180.0,0.003,-0.007,0.999,-3.23,1.21,1.14
6200.0,-0.002,0.000,1.006,-3.14,0.78,1.07
6220.0,-0.003,0.001,0.995,-3.44,1.18,0.91
6240.0,0.001,0.002,1.002,-3.37,0.81,0.88
6260.0,0.002,-0.000,1.000,-3.45,0.78,1.09
6280.0,0.004,-0.004,1.000,-3.23,0.62,1.2
6300.0,0.000,-0.002,1.003,-3.44,0.88,0.89
6320.0,-0.002,0.001,1.000,-3.08,0.66,0.9
6340.0,-0.003,0.005,1.005,-3.36,0.72,0.96
6360.0,-0.000,-0.000,1.005,-3.14,0.91,1.2
6380.0,-0.004,0.005,0.993,-3.19,1.01,1.09
6400.0,0.007,0.002,0.992,-3.32,1.01,1.31
6420.0,-0.003,0.001,0.998,-3.31,0.59,1.08
6440.0,-0.006,-0.000,1.006,-3.28,0.86,0.95
6460.0,-0.001,0.003,1.006,-3.52,1.07,0.83
6480.0,-0.003,0.002,1.001,-3.57,0.88,0.92
6500.0,-0.004,0.003,0.996,-3.71,1.14,1.1
6520.0,0.001,-0.002,1.004,-3.14,1.33,0.88
6540.0,0.002,0.002,1.003,-3.7,0.9,0.85
6560.0,-0.001,-0.001,1.000,-3.33,0.62,1.02
6580.0,0.005,-0.005,0.997,-3.22,0.89,1.14
6600.0,0.002,0.001,1.000,-3.28,0.97,1.05
6620.0,-0.003,0.009,1.006,-3.27,1.2,1.1
6640.0,0.000,-0.002,1.007,-3.4,1.1,0.85
6660.0,-0.004,-0.001,1.000,-3.4,1.01,1.36
6680.0,-0.003,-0.003,1.003,-3.15,0.83,0.8
6700.0,0.000,0.001,1.009,-3.23,1.12,0.81
6720.0,0.001,0.001,1.002,-3.43,0.78,1.01
6740.0,-0.002,0.001,0.998,-3.23,1.25,0.85
6760.0,-0.002,-0.002,0.992,-3.35,1.23,0.8
6780.0,-0.008,0.003,0.997,-3.2,0.9,1.01
6800.0,-0.003,-0.001,0.999,-3.52,0.99,0.91
6820.0,-0.001,-0.006,1.000,-3.26,0.64,1.15
6840.0,0.002,-0.002,1.007,-3.33,0.83,1.08
6860.0,0.010,0.002,0.995,-3.42,1.47,1.1
6880.0,-0.002,0.000,1.003,-3.44,1.07,0.97
6900.0,-0.004,0.003,1.004,-3.3,0.98,1.12
6920.0,-0.002,0.004,0.997,-3.18,0.68,0.82
6940.0,-0.000,0.001,0.999,-2.93,0.93,1.11
6960.0,-0.008,0.008,1.007,-3.32,0.87,0.88
6980.0,-0.007,0.002,0.995,-3.67,0.59,1.05
7000.0,0.002,-0.002,1.005,-3.46,0.49,1.11
7020.0,0.003,-0.007,0.999,-3.52,0.62,1.05
7040.0,0.005,0.001,1.004,-3.45,1.14,1.11
7060.0,-0.003,0.014,1.007,-3.36,1.17,0.89
7080.0,-0.003,-0.008,1.000,-3.48,1.05,0.95
7100.0,-0.001,-0.008,0.997,-3.36,0.92,0.99
7120.0,-0.000,0.001,1.002,-3.14,1.18,0.83
7140.0,-0.001,0.007,0.998,-3.5,0.75,0.9
7160.0,-0.003,0.006,1.007,-3.36,0.71,0.99
7180.0,-0.011,-0.004,1.006,-3.57,0.59,1.04
7200.0,-0.003,-0.004,0.996,-3.07,0.94,0.98
7220.0,0.002,0.002,1.001,-3.06,1.21,1.13
7240.0,0.003,0.005,1.005,-3.41,1.04,1.07
7260.0,0.009,0.002,1.005,-3.52,0.76,0.99
7280.0,0.002,-0.001,1.003,-3.3,0.87,1.02
7300.0,-0.008,-0.002,0.999,-3.32,0.88,1.01
7320.0,-0.006,0.007,1.001,-3.24,0.67,1.12
7340.0,-0.004,0.004,1.001,-3.49,0.82,0.95
7360.0,0.008,-0.004,1.003,-3.4,0.9,0.82
7380.0,0.006,-0.005,1.004,-3.33,1.05,1.05
7400.0,0.002,-0.001,1.009,-3.09,1.14,0.86
7420.0,-0.001,-0.002,1.003,-3.27,0.97,1.13
7440.0,-0.004,0.000,1.000,-3.26,0.95,0.88
